$C$ FCC auto line data save
$C$ Version 1,2,7M UDP
$C$ Modify Time interval calculation
$H1$ Machine_ID;Barcode;Date;Time;Load cone tray number;Load cone tray position;Oil-Lub Amount;Oil-Lub Visual check;Axial Play Press Number;Axial Play;IPA-Flush Duration;IPA-Flush Visual Check;Galling Dent Visual Check;INT number;INT Cone Duration;INT Cone Visual Check;Oil Up number;Oil Up Amount;Oil Up duration;Oil Up Visual Check;Endcap Up tray number;Endcap Up tray position;Oil Low number;Oil Low Amount;Oil Low duration;Oil Low Visual Check;Endcap Low tray number;Endcap Low tray position;Unload Cycle Time;Failure Code;NG Carrier;Time interval
$H2$ Units;;;;;;mg;;;um;sec;;;;sec;;;mg;sec;;;;;mg;sec;;;;sec;;;sec
$H3$ Spec min;;;;1;1;0.6;;1;12;;;;1;;;1;7.74;;;1;1;1;7.74;;;1;1;;;
3;24X23004610101;2024-10-24;07:36:53;1;148;.47;2;3;13.7;1.50;2;2;1;1.00;2;1;8.14;4.628;3;1;46;2;8.12;4.647;3;1;42;6.54;;C82;6.3
3;24X23004670101;2024-10-24;07:37:00;1;149;.46;2;2;14.2;1.50;2;2;2;1.20;2;2;8.15;3.633;3;1;47;1;8.10;5.156;3;1;43;6.29;;C81;7.8
3;24X23004570101;2024-10-24;07:37:07;1;150;.46;2;1;14.0;1.50;2;2;1;1.00;2;1;8.13;4.622;3;1;48;2;8.12;4.645;3;1;44;7.81;;C80;6.4
3;24X23004580101;2024-10-24;07:37:13;1;151;.47;2;3;13.9;1.50;2;2;2;1.20;2;2;8.16;3.633;3;1;49;1;8.10;5.159;3;1;45;6.44;;C123;6.4
3;24X23004640101;2024-10-24;07:37:21;1;152;.47;2;2;13.5;1.50;2;2;1;1.00;2;1;8.14;4.625;3;1;50;2;8.12;4.651;3;1;46;6.37;;C78;7.6
3;24X23004590101;2024-10-24;07:37:27;1;153;.47;2;1;13.5;1.50;2;2;2;1.20;2;2;8.15;3.654;3;1;51;1;8.11;5.159;3;1;47;7.63;;C77;6.2
3;24X23004600101;2024-10-24;07:37:34;1;154;.46;2;3;13.5;1.50;2;2;1;1.00;2;1;8.13;4.630;3;1;52;2;8.12;4.645;3;1;48;6.21;;C76;6.6
3;24X23004630101;2024-10-24;07:37:41;1;155;.47;2;2;13.7;1.50;2;2;2;1.20;2;2;8.15;3.664;3;1;53;1;8.11;5.160;3;1;49;6.65;;C75;7.1
3;24X23004460101;2024-10-24;07:37:47;1;156;.45;2;1;14.1;1.50;2;2;1;1.00;2;1;8.13;4.624;3;1;54;2;8.13;4.646;3;1;50;7.09;;C74;6.5
3;24X23004530101;2024-10-24;07:37:54;1;157;.46;2;3;14.8;1.50;2;2;2;1.20;2;2;8.14;3.674;3;1;55;1;8.11;5.159;3;1;51;6.51;;C73;6.5
3;24X23004450101;2024-10-24;07:38:01;1;158;.46;2;2;13.3;1.50;2;2;1;1.00;2;1;8.13;4.624;3;1;56;2;8.12;4.646;3;1;52;6.46;;C71;7.7
3;24X23004500101;2024-10-24;07:38:08;1;159;.47;2;1;13.6;1.50;2;2;2;1.20;2;2;8.14;3.676;3;1;57;1;8.10;5.154;3;1;53;7.70;;C105;6.3
3;24X23004490101;2024-10-24;07:38:14;1;160;.47;2;3;13.9;1.50;2;2;1;1.00;2;1;8.13;4.631;3;1;58;2;8.12;4.642;3;1;54;6.36;;C104;6.5
3;24X23004540101;2024-10-24;07:38:22;1;161;.47;2;2;13.3;1.50;2;2;2;1.20;2;2;8.16;3.675;3;1;59;1;8.10;5.153;3;1;55;6.44;;C103;7.6
3;24X23004550101;2024-10-24;07:38:32;1;163;.46;2;1;13.7;1.50;2;2;1;1.00;2;1;8.14;4.626;3;1;60;2;8.13;4.646;3;1;56;7.59;;C102;10.4
3;24X23004470101;2024-10-24;07:38:39;1;164;.46;2;3;14.2;1.50;2;2;2;1.20;2;2;8.16;3.679;3;1;61;1;8.10;5.152;3;1;57;10.40;;C101;6.4
3;24X23004480101;2024-10-24;07:39:08;1;165;.47;2;2;13.5;1.50;2;2;1;1.00;2;1;8.13;4.630;3;1;62;2;8.12;4.645;3;1;58;6.44;;C100;29.4
